titulo,director,anio,duracion,link_pelicula,letterboxd,tags,poster
Camila,María Luisa Bemberg,1984,109,https://drive.google.com/file/d/10MdWeXy-_9c3HPo39PDz7Zy6mE5LFMZr/view,https://letterboxd.com/film/camila/,#MemoriaAbierta,https://drive.google.com/uc?id=1-n5V4SdZkKk1tbt_p3IkMbV1hMA4ss9I
Campamento con mamá,Martino Zaidelis,2024,95,https://drive.google.com/file/d/1a3qSo5VixZeG8U7LMJP5AiP11isslZ6F/view,https://letterboxd.com/film/camp-crasher/,,https://drive.google.com/uc?id=1gt-eWARZ7x6Zir9QNPd79nG4Refwg3nE
Canadá,Raúl Perrone,2007,78,https://drive.google.com/file/d/15NexkadWYowTdrYPGBVnwunwG9G9MBWo/view,https://letterboxd.com/film/canada/,,https://drive.google.com/uc?id=1gtGTgdrKQMmYvAemqGE8SQYZFUIwyCw3
Cándida,Luis Bayón Herrera,1939,85,https://drive.google.com/file/d/1gxPCnx8e7meFK_Bc9xD9XZqGwx7ZRP7s/view,https://letterboxd.com/film/candida-1939/,,https://drive.google.com/uc?id=1K7R4MikA7RGik78gnmrVUPqzSo3ZKn17
Cándida millonaria,Luis Bayón Herrera,1941,85,https://drive.google.com/file/d/1JjbFyuYo6NBGRP6qM1nvbdxzRZ6j_pW-/view,https://letterboxd.com/film/candida-millonaria/,,https://drive.google.com/uc?id=1zXyhYMNSd45FolhIFIO9niyneMWW8Svs
Almamula,Juan Sebastian Torales,2023,96,https://drive.google.com/file/d/1c2kTTAE5j6jZ6XHNeiz_zOxtcxe0KGNA/view,https://letterboxd.com/film/carnal-sins-2023/,#LGBT,https://drive.google.com/uc?id=1fEZ7cE_QzcR6uJV9U7jjqUTPRxraxEBJ
Carnaval de antaño,Manuel Romero,1940,79,https://drive.google.com/file/d/1QGqupIUmNDTorUVEUOOa0ggQZI8OLNDB/view,https://letterboxd.com/film/carnaval-de-antano/,,https://drive.google.com/file/d/1aZzRn1NbE9nbLXZ3cs7TmlPDd817YYM_/view?usp=sharing
Carne Viva,Marcelo Goyeneche,2007,61,https://drive.google.com/file/d/111B11oPe7G77AE8DQNPeR2zBXQzv8_W0/view,https://letterboxd.com/film/carne-viva-2007/,,https://drive.google.com/uc?id=1GyWktG0jyAKEUSR8vv0N5lD0XGopSVUl
Carta a una señorita en París,Nicolás Prividera,2024,35,https://drive.google.com/file/d/1Wl3DrdNmNWtZ1pqMEAtRYTJaEeT0OAZk/view,https://letterboxd.com/film/carta-a-una-senorita-en-paris/,,https://drive.google.com/uc?id=1dRYUyVNF_9lK8VWh_S2Vz6SDbyNjc2s4
Casas de fuego,Juan Bautista Stagnaro,1995,115,https://drive.google.com/file/d/1jzvciAAmElObrO3qic5lgte-YRVb2coM/view,https://letterboxd.com/film/casas-de-fuego/,,https://drive.google.com/uc?id=1CSbF9pLEof_72QKdHgn4whQ50lqw5lV-
Catita es una dama,Julio Saraceni,1956,80,https://drive.google.com/file/d/1I4UB9qFWLT3ENaKbKgCiOCSONSIgl4iy/view?usp=sharing,https://letterboxd.com/film/catita-is-a-lady/,,https://drive.google.com/uc?id=1YHqB23hvA17G2QXaQ9_iZ7F0JHqbbGY6
Cautiva,Gaston Biraben,2004,115,https://drive.google.com/file/d/1mE1I1G9phuON6jR9Gq5VHf3BAVpcHx0E/view,https://letterboxd.com/film/cautiva/,,https://drive.google.com/uc?id=1qzZD5qJG3a-NJb2W873uuzfOL3ev6JDr
"Cazador, la película","Marcelo Leguiza, Georgina Zanardi",2019,97,https://drive.google.com/file/d/1l2eznj8zpC_vETxJ_X-l4HOLASSXuylU/view,https://letterboxd.com/film/cazador-la-pelicula/,,
Chile '76,Manuela Martelli,2022,96,https://mega.nz/file/VnURwYQT#keR3zegXpwaHQN29IR9pHZCO78Mw6H4bvDP4TD7ejBE,https://letterboxd.com/film/chile-76/,,https://drive.google.com/uc?id=1FcVDrhJdK79iMVUbMj87JXhaCNoKS5Vb
"Chino BASIC, un viaje informático",Bebe Kamín,1987,43,https://drive.google.com/file/d/1Xtg2kNkvW1cHrYS-_VfbDsjnhdgpXmb3/view,https://letterboxd.com/film/chino-basic-un-viaje-informatico/,,
Crónica de una fuga,Israel Adrián Caetano,2006,103,https://drive.google.com/file/d/1UiPPwKQG5SXeGXfHkz77bdIWkqbdKM5f/view,https://letterboxd.com/film/chronicle-of-an-escape/,#MemoriaAbierta,https://drive.google.com/uc?id=1U0djDeLUEZVEVJsd6wwzvlLeruhFj7XR
Cien veces no debo,Alejandro Doria,1990,91,https://drive.google.com/file/d/1fUH3q1jLWOkEkkuvIHHS48HPTdzcPlxf/view,https://letterboxd.com/film/cien-veces-no-debo/,,https://drive.google.com/uc?id=1nWIA7d2y8AKGQd2Nz-fXnzd7Glph4Leq
Cinco gallinas y el cielo,Rubén W. Cavallotti,1957,70,https://drive.google.com/file/d/1C4xRDPOQt23bBOrOF1D3HdoDViozHeCL/view,https://letterboxd.com/film/cinco-gallinas-y-el-cielo/,,https://drive.google.com/uc?id=1lapV0FmiD8JTv8-bAZKx_wkjAf62MOsa
Cínicos,Raúl Perrone,2017,125,https://drive.google.com/file/d/17ZenUCv-BHs847x1Gq9wtV-XKRLchV6E/view?usp=sharing,https://letterboxd.com/film/cinicos/,,https://drive.google.com/uc?id=1yX2Wybs5eBeT4ecR0dmAyrSJstuXh1ah
Cita en las estrellas,Carlos Schlieper,1949,68,https://mega.nz/folder/aK5imRrJ#hBLKlb3u58Owiu0qp8lnyQ,https://letterboxd.com/film/cita-en-las-estrellas/,,https://drive.google.com/uc?id=1N6KY6EaaobXINnPYlNwVFrVIAmPi4hOU
Citizen Langlois,Edgardo Cozarinsky,1995,69,https://mega.nz/file/9UU21SZD#QXS_uhfyX-IncU7JUvYXWmrX2CtR5B6mq2CvCHT6mYU,https://letterboxd.com/film/citizen-langlois/,,https://drive.google.com/uc?id=1RUXVCgr3qqolf403FOtvBl4B-_sn_gB6
Clementina,"Constanza Feldman, Agustín Mendilaharzu",2022,109,https://drive.google.com/file/d/1HswMphwKVqzy_jcENsJot7XiZpsgDt-m/view,https://letterboxd.com/film/clementina-2022/,,
Clorindo Testa,Mariano Llinás,2022,100,https://drive.google.com/file/d/1BzY6_wkk4YiJwtyTwZ3318D_wNOA5IIZ/view,https://letterboxd.com/film/clorindo-testa/,,https://drive.google.com/uc?id=1tCeNBZMsJMr6ym-5R3_OY2FQjHgDHgIP
Color escondido,Raúl de la Torre,1988,87,https://drive.google.com/file/d/1BiEuSalRXmui7t3YBSep60_G71Us9OKF/view,https://letterboxd.com/film/color-escondido/,,https://drive.google.com/uc?id=1gbeCnSIxPIQLTfN6rtGuGcRpQJ-26BQZ
